id,xslice,yslice,d_per,d_long,d_tot,SM,x,Metal,y,z
2850127, 29.3260, 16.8132,  0.0829,  1.6013,  6.3540,4148156930.0000, 48.9630,  0.0162, 31.3254, 55.8357
2851693, 45.3651, 47.5899,  2.5020,  0.0566,  0.9916,1311517950.0000, 64.4759,  0.0135, 61.2905, 97.7083
2853001, 21.2309, 16.5392,  3.3102,  3.3112,  3.9942,1752337280.0000, 69.5305,  0.0140, 75.2527, 60.6286
2856928,-19.8160, 33.0477,  2.4983,  0.0000,  4.1258,5134871000.0000, 20.2924,  0.0145, 79.1294, 47.3203
2857654,  3.1289, -0.3921,  0.1475,  2.7031,  4.2172,1219595140.0000, 60.3718,  0.0133, 72.1133, 34.5976
2859803, 40.5947, 51.7472,  0.0865,  8.6375,  1.7971,1640623230.0000, 43.7266,  0.0132, 40.8063, 92.9776
2860135, 40.5049, 51.7624,  0.0048,  8.6665,  1.7971,1205233660.0000, 43.6289,  0.0145, 40.8093, 92.9308
2863684,  4.6906,-33.3829,  1.9475,  5.0838, 13.9397,1177943040.0000, 82.6607,  0.0073, 71.0865,  9.4771
2865443, 16.8489, 30.3909,  0.5042,  0.5216,  1.9605,2386133250.0000, 55.1217,  0.0157, 73.6418, 68.2255
2867309, 62.3275, 19.6655,  0.0108,  2.6357,  6.5018,1301211010.0000, 75.4574,  0.0157, 24.1429, 78.2412
2867701, -9.0876, -6.5681,  1.9232,  0.7697,  2.4877,2848936190.0000, 59.4668,  0.0146, 83.3809, 24.3144
2867911, -8.8910, -6.4794,  1.9641,  0.7697,  2.4877,4614972400.0000, 59.5880,  0.0159, 83.3534, 24.5078
2869771,-12.6104, 28.4447,  0.0975,  1.8246,  3.6788,4287700990.0000, 29.4494,  0.0186, 77.5355, 48.1017
2870910, 24.3298,-21.3165,  0.0169,  3.3161,  2.5599,5295654900.0000, 69.0190,  0.0142, 31.8294, 22.6960
2871574, -9.8680,  0.3319,  1.0703,  0.0000,  1.7200,2803659260.0000, 60.0729,  0.0137, 92.4192, 31.3509
2871986, -9.8680,  0.3607,  1.0483,  0.0000,  1.7200,2207223550.0000, 59.9775,  0.0177, 92.3009, 31.3455
2872485, -1.7583, 22.5635,  3.7008,  1.6778,  2.3889,5914796500.0000, 34.0124,  0.0159, 61.9559, 46.9928
2873256, -1.9031, 22.2572,  3.3630,  1.6778,  2.3889,1217467260.0000, 34.0307,  0.0109, 61.9011, 46.6434
2873699,-25.5257,  6.0039,  2.5754,  0.0000,  9.0152,3950461180.0000, 34.7176,  0.0157, 83.1362, 23.2423
