# id    npts   len        ngal1   ngal2   lum1       lum2       xmin        ymin       zmin        xlen      ylen      zlen     
  218   35     17.07838   15      19      24.14674   29.60177   -313.8409   213.3045   75.7389     4.1359    4.2974    15.6477  
  219   39     19.14752   12      18      4.53107    6.58044    56.669      96.945     -14.755     18.1278   3.8126    0.8972   
  220   49     24.19539   10      13      6.45399    10.4644    76.511      130.2463   -77.7907    15.9011   11.1612   11.7334  
  221   33     16.27699   8       12      16.42528   21.67154   43.3475     301.1924   -130.8125   5.9301    11.8725   8.6089   
  222   36     17.57357   7       15      7.28385    14.35266   -115.1238   137.0683   33.9248     12.5336   11.0116   2.6856   
  223   50     24.67595   20      21      26.0215    26.57997   226.6663    121.3524   7.3053      8.5641    17.0445   11.6837  
  224   33     16.05779   10      12      9.59568    12.58953   -218.391    108.3091   -66.7434    15.6483   0.792     1.9473   
  225   31     15.20215   21      27      12.0108    14.45444   -32.6106    90.3511    53.1122     12.5317   5.8049    3.8199   
  226   89     44.2683    58      80      31.64424   49.72086   -134.8985   72.6159    -34.8974    16.7806   17.1212   26.4355  
  227   53     26.36868   15      23      1.45493    1.89039    -16.5595    26.1184    -28.5119    10.4087   19.1488   10.262   
  228   56     27.78855   24      29      27.72568   34.88629   142.9855    137.5823   -85.8816    9.4207    15.1164   15.7857  
  229   28     13.53359   8       13      8.86368    18.68495   20.6042     202.2495   -134.9548   1.4117    13.0172   2.1697   
  230   35     17.22985   8       12      4.86427    8.70313    -63.5145    188.3883   -130.6271   8.0362    8.0181    10.1389  
  231   30     14.57481   16      20      17.46772   19.47874   53.049      178.1833   -82.006     11.6293   8.0339    0.9234   
  232   24     11.68186   17      22      12.6252    15.46342   -62.1779    203.9978   -30.5434    5.7252    6.4996    7.3067   
  233   65     32.15325   22      27      24.05387   31.44238   -196.4281   153.5946   -41.5731    18.2896   11.4668   22.3259  
  234   33     16.30385   9       15      7.15834    9.09844    -51.7353    122.602    0.998       10.8845   10.3364   1.6579   
