id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag
11747174,3.09260902E9,54.117558,0.31894913,6.7331656E9,1.01531222E11,3.1650688E9,0.01576473,0.023090273,0.0019200522,0.010095249,0.70195895,66.42811,2.5993412,1.2166227,0,188.8422477393499,3.39418251E11,27000000003872,1.6446847E-5,3.9588496E-5,6.253269E-5,8.254343E-5,9.456246E-5
11585829,2.09391142E9,49.82025,0.37107193,3.74261222E9,7.853967E10,2.24317773E9,0.0125575205,0.021655295,0.0016544681,0.00958654,0.70524746,66.37586,52.071777,52.04395,0,196.0164414341307,3.39797148E11,27000000003708,1.7536613E-5,4.0226965E-5,6.0036487E-5,7.5738026E-5,8.454615E-5
13709148,1.31884861E10,78.037315,0.8766265,3.31536358E9,1.63345023E11,1.33978798E10,0.021868724,0.03711885,0.012995747,0.015122148,0.6686786,54.150993,91.58439,36.473248,4,443.33982803826683,3.39890045E11,27000000000113,3.9858962E-5,1.0557554E-4,1.872372E-4,2.5367533E-4,3.0804658E-4
11411321,5.637759E9,60.594822,0.3811099,6.8744428E9,1.0809566E11,5.7166761E9,0.016308505,0.029862989,0.0029201442,0.012585701,0.6866738,58.747036,99.19321,2.1569312,0,190.28405986182867,3.39890831E11,27000000003624,2.007751E-5,5.487101E-5,9.568838E-5,1.254142E-4,1.5114603E-4
11653763,4.9187461E9,56.6714,0.22944565,3.96204749E9,1.06063929E11,4.9660186E9,0.018442538,0.036197886,0.0020393783,0.0143671995,0.67107695,50.39009,44.206554,80.17567,0,299.55835981908433,3.40110246E11,27000000003856,1.1563737E-5,3.099671E-5,5.7622827E-5,7.9480254E-5,9.82871E-5
11674316,4.3151084E9,51.700085,0.3511138,9.5860909E8,8.0516973E10,4.3927496E9,0.017206522,0.04187917,0.0071336315,0.017427376,0.6583588,50.301353,3.627592,16.804028,0,847.0287775512707,3.40190003E11,27000000003862,1.1499671E-5,3.563774E-5,6.6796005E-5,9.174991E-5,1.1303211E-4
11682941,5.7050435E9,61.344265,0.92395884,3.12477056E9,9.4097744E10,5.8065812E9,0.016597265,0.02393749,0.003098964,0.010418994,0.6999275,16.270164,76.53747,88.00964,0,91.285572047627,3.40299383E11,27000000003636,3.3187513E-5,7.836281E-5,1.2384602E-4,1.636919E-4,1.8741046E-4
11681953,3.98084762E9,58.729595,0.52407646,4.4604355E9,9.8973622E10,4.05226701E9,0.015516758,0.01873336,0.002387695,0.0084221475,0.7122711,41.46811,42.844093,95.71918,0,116.70058426240847,3.40388872E11,27000000003732,2.7132804E-5,6.0682745E-5,9.197353E-5,1.1844146E-4,1.3222397E-4
11764363,8.6398761E9,64.891136,0.696675,1.26147034E9,1.05601147E11,8.7124367E9,0.019706875,0.046465024,0.0032081401,0.018699748,0.646534,56.844753,34.076454,9.670217,0,335.96698126452844,3.40419346E11,27000000003801,1.5790747E-5,5.5174456E-5,1.0967737E-4,1.4963168E-4,1.9025817E-4
11249635,2.64873805E9,50.061043,0.503318,2.77535821E9,7.766188E10,2.681472E9,0.016692057,0.020329416,7.93008E-4,0.008934331,0.70789,90.87601,61.34759,11.127854,0,330.0801867539159,3.40466926E11,27000000003302,2.2746102E-5,4.6944184E-5,6.7693945E-5,8.856478E-5,9.564573E-5
