id,xslice,yslice,SM,x,Metal,y,z
11724877,  2.0324,-39.1194,3841998590.0000, 54.9184,  0.0165, 27.1492, 26.3103
11730240, -1.4791, -4.8981,2585921540.0000, 66.4927,  0.0165, 59.1879, 19.7433
11731371, 26.2312, 31.5692,3534529540.0000, 81.8956,  0.0144, 97.4358, 46.2935
11754977, 56.4205,-57.2468,2445149440.0000, 29.2822,  0.0164, 20.5994, 77.6853
11775423, 49.2961,-52.7539,2329356540.0000, 45.2051,  0.0157, 21.7579, 74.6858
11776019, 43.6877,-50.2380,3929961220.0000, 44.2530,  0.0175, 23.6001, 68.0733
11781096, 33.9579,-49.0425,1871132670.0000, 72.8886,  0.0145, 19.2451, 67.2271
11793100,  0.7279,  0.4996,2009559680.0000, 78.2865,  0.0163, 63.1986, 24.8545
11799711, 34.3963,-30.1712,3662283780.0000, 51.4931,  0.0153, 41.2752, 56.8908
11801119, -9.8515,-22.1190,4117834240.0000, 72.5092,  0.0155, 39.8852, 16.4689
11818224, 20.7683, 32.5059,2716048130.0000, 85.1070,  0.0162, 97.1175, 41.5179
11831042, -3.3251, -1.1693,5433673200.0000, 90.5205,  0.0171, 59.1733, 25.0308
11838272, 64.1225, 19.0708,3729236220.0000, 83.0828,  0.0165, 90.2476, 88.3487
11861303, 24.2339,-65.6991,2501142020.0000, 55.6004,  0.0170,  3.6828, 54.7488
11868342,  4.5473, -4.9927,1964949500.0000, 73.6450,  0.0146, 58.9303, 28.3573
11873973, 53.1462,-46.4708,1063919170.0000, 82.0134,  0.0125, 23.2727, 89.5809
11878260, 43.8884,-42.9014,1178314110.0000, 77.0083,  0.0132, 26.2269, 77.6472
11884452, 65.6432, 21.7363,2111824130.0000, 72.5751,  0.0124, 94.6534, 85.9261
11884795, 65.6334, 21.7449,1043430590.0000, 72.5931,  0.0111, 94.6579, 85.9202
11891598, -3.8213, 22.0391,4574969900.0000, 70.6399,  0.0167, 85.1862, 13.3716
11921379, 30.9710, 28.8450,3598660860.0000, 72.7796,  0.0156, 96.7161, 48.7245
11932010,  3.1642, 19.1557,4621584900.0000, 81.9244,  0.0150, 81.6808, 24.8927
11936000, 35.9108,-49.7385,4142131710.0000, 76.6622,  0.0163, 18.2856, 70.6306
11957404, 19.7363, 32.0927,2597401860.0000, 76.3263,  0.0154, 97.8254, 37.6328
11961777, 56.0440,-50.0762,2241157380.0000, 71.3058,  0.0140, 21.6357, 89.7550
11963673, 69.0760, 16.5430,1234325500.0000, 65.7663,  0.0137, 90.9418, 88.2543
11969763,-13.4908, 19.2857,3602704380.0000, 60.7060,  0.0160, 82.4711,  0.6331
11987498, 11.6313,-51.9325,1210999810.0000, 84.1151,  0.0102, 11.5007, 48.4091
11990145, 35.5490,-29.8516,1489956100.0000, 88.4740,  0.0130, 36.4113, 70.2300
12001770, -8.6692, 21.3665,2168489470.0000, 76.7983,  0.0144, 82.9212, 10.5230
12007030, 25.9529,-68.6849,1477339520.0000, 60.4541,  0.0116,  0.2435, 58.7190
12010930, 41.6095,-54.1560,1586233090.0000, 65.1247,  0.0139, 16.3619, 73.5883
12027193, 39.8142, 17.5152,3221557250.0000, 79.3147,  0.0163, 85.7203, 62.2666
12030535, -5.0430,-40.3444,2251565570.0000, 56.2404,  0.0167, 24.7093, 19.6696
