id,SM,VelDisp,SFR,GM,Tot_Mass,SM_sh,Metal,SF_Metal,NSF_Metal,SF_O,SF_Fe,SF_N,SF_C,SF_H,NSF_O,NSF_H,Stars_O,Stars_N,Stars_C,Stars_Fe,Stars_H,x,y,z,SubGrpNum,Vel,Mass_sh,grpid,u,g,r,i,zmag,Y,J,H,K,M_dot,ellip,Kappacorot,ENV,d_long,d_per,d_tot,xslice,yslice
8976542,18911189000.0,93.61611,2.7947366,9606088700.0,173768442000.0,20620998700.0,0.018,0.02840738,0.004358472,0.01219287,0.0017366405,0.0012799297,0.0046815276,0.6894251,0.0019479442,0.74255925,0.008169966,0.0006751061,0.0030358636,0.00093051966,0.7131262,96.6571,56.0208,57.3618,0,288.98583442791795,1050555650000.0,27000000001227,-20.043491,-20.878479,-21.222528,-21.411217,-21.618326,-21.777903,-21.834036,-21.997355,-21.725433,6.7516366e-09,0.5596753045528131,0.5323539122387084,field,,,,51.3951,23.8181
8977865,7260069400.0,62.0435,1.0422328,5952338900.0,108601967000.0,7320686100.0,0.0171,0.025318433,0.007557119,0.011063038,0.0015253028,0.0010338399,0.0041751885,0.69693106,0.003440765,0.7359562,0.007727193,0.00061615766,0.0029151146,0.0009239083,0.7152208,96.7852,56.097,57.3924,1,215.27708344422078,167942111000.0,27000000001227,-19.004969,-19.829088,-20.158,-20.33972,-20.534327,-20.676258,-20.722088,-20.875519,-20.590828,1.1357967e-06,0.5182369139621321,0.5041545364020181,field,,,,51.5191,23.779
8978301,22420400100.0,92.16962,1.4269168,8922060800.0,216382112000.0,24573988900.0,0.0189,0.028738037,0.0035449346,0.012065214,0.0020897794,0.0012746237,0.0047963993,0.6890129,0.0015794683,0.7443273,0.008485347,0.0007308693,0.0031764612,0.0010030804,0.71110666,73.2978,74.8729,73.3091,0,149.9385616365083,1184867680000.0,27000000001235,-19.537193,-20.536085,-21.009775,-21.247398,-21.491055,-21.672993,-21.744057,-21.923271,-21.647118,0.010592192,0.46259287093692625,0.7632238199774313,filament,1.1909,0.0761,5.5552,27.3515,23.4492
8982466,20629602300.0,86.87601,1.9828035,9806310400.0,205014630000.0,24185464800.0,0.0167,0.028413137,0.0033939418,0.01231444,0.0017554954,0.0011594197,0.00472421,0.68991673,0.0015162071,0.7446862,0.0077045783,0.00058213394,0.0028188496,0.0008798633,0.71628934,53.6406,60.9823,46.3768,0,99.67649331869826,1199974780000.0,27000000001239,-19.73716,-20.642092,-21.04407,-21.25657,-21.476093,-21.63507,-21.692188,-21.859978,-21.580624,0.00012325514,0.7189787500463185,0.40058315750613893,filament,3.5633,0.5994,5.952,7.8922,15.1178
8984019,30837504000.0,90.81975,1.2786913,6698101200.0,231358972000.0,32202465300.0,0.0226,0.042723734,0.0036099902,0.017290741,0.0034051102,0.0023182782,0.006687056,0.65643513,0.0015639714,0.74403363,0.010136769,0.0009639255,0.0036401916,0.0011789239,0.70278805,32.1259,96.1562,52.8116,0,312.22928273946377,1291103500000.0,27000000001224,-19.481218,-20.5724,-21.112305,-21.377295,-21.652237,-21.86752,-21.956179,-22.151611,-21.890097,0.0001578002,0.6632794029315996,0.4348003082405564,filament,0.7599,1.3079,0.8537,-15.5393,-3.5432
8986033,17103563800.0,80.9726,2.0152822,9336825900.0,173330039000.0,18613755900.0,0.0196,0.029720245,0.0031792512,0.012804414,0.0017628608,0.001317129,0.004897393,0.686387,0.0014147598,0.7450901,0.008769252,0.00078411115,0.0032601485,0.001026131,0.70933795,55.109,74.9334,63.2809,0,148.7118385922923,1150527860000.0,27000000001234,-19.791182,-20.678654,-21.0432,-21.238005,-21.449545,-21.614412,-21.673725,-21.840128,-21.568201,1.2477169e-05,0.5803795718964014,0.4916727027435457,filament,3.8695,0.6723,5.952,8.9434,17.3516
8988007,15241017300.0,87.32583,0.09078681,2532604420.0,240507617000.0,16675415000.0,0.0167,0.02744226,0.0013152075,0.011787755,0.0019090596,0.001037898,0.0047039967,0.6913747,0.00058493216,0.74915814,0.007957446,0.0006105436,0.0026413077,0.00065013225,0.71619123,61.0266,11.3901,91.3503,0,268.4533682737097,1403699990000.0,27000000001251,-17.64636,-19.100222,-19.818253,-20.138687,-20.433323,-20.632282,-20.711315,-20.91031,-20.622498,0.0015147591,0.4369913260749331,0.7132542752666117,field,,,,19.4031,81.3773
8990039,24098226200.0,91.552414,1.4493752,6002949600.0,207239348000.0,25284667400.0,0.0235,0.029827733,0.0027963084,0.012270985,0.002277314,0.0015781495,0.0045913267,0.6856345,0.0012474086,0.74591494,0.010341351,0.001051199,0.0038354415,0.0012751706,0.70022255,31.1569,85.6802,77.0829,0,149.82699658689685,1038976090000.0,27000000001260,-19.447798,-20.415068,-20.900885,-21.148464,-21.413017,-21.625263,-21.711128,-21.902721,-21.638784,0.00012173022,0.6069701680700483,0.4588050688781775,filament,5.0339,0.0465,7.6318,-15.2563,21.1457
8991644,23939096600.0,92.54431,0.9100089,5442224100.0,230349914000.0,25125226500.0,0.0189,0.04137973,0.0036071013,0.016858315,0.0033155186,0.002054322,0.006717995,0.65993,0.0015684022,0.7441132,0.008524862,0.00072258466,0.0031473122,0.0010323144,0.71117806,33.1984,42.4807,98.2605,0,355.2701217031908,1188608610000.0,27000000001301,-19.117378,-20.231066,-20.788885,-21.05898,-21.328808,-21.5272,-21.606987,-21.798046,-21.527287,2.3222609e-07,0.7085067056929277,0.38112403017450247,filament,3.5492,0.104,8.7147,-10.0693,66.2875
8995406,12654634000.0,81.56983,0.0,1436758780.0,205646119000.0,13564040200.0,0.0135,0.025187396,0.0011250182,0.011937701,0.0009877741,0.0007945999,0.0044462136,0.6980858,0.0005141205,0.74960214,0.0064782915,0.00043071024,0.0021372053,0.0006027384,0.72377574,95.3155,70.2762,62.2229,0,513.4021937039225,1327717420000.0,27000000001180,-17.486235,-19.024137,-19.747496,-20.066023,-20.346695,-20.520634,-20.588558,-20.77824,-20.480577,2.647653e-07,0.4695216217748972,0.8456855316521454,filament,2.8544,0.9587,1.7876,49.318,17.4168
