#OK
#SQL=  
#		                               SELECT   
#		                                        SH.GalaxyID as id,
#		                                        SH.CentreOfMass_x as x,
#		                                        SH.CentreOfMass_y as y,
#		                                        SH.CentreOfMass_z as z,                       
#			                                ape.Mass_Star as Mstar,
#	                                                G.GroupCentreOfPotential_x as g_x,
#			                                G.GroupCentreOfPotential_y as g_y,
#			                                G.GroupCentreOfPotential_z as g_z,
#			                                G.Group_M_Crit200 as M,
#			                                G.Group_R_Crit200 as R,
#			                                G.GroupID as grpid,
#	                                                G.NumOfSubhalos as Num
#			                        FROM 
#			                                RefL0100N1504_FOF as G,
#		                                        RefL0100N1504_Subhalo as SH,
#	                                                RefL0100N1504_Aperture as ape,
#	                                                RefL0100N1504_Magnitudes as mg
#			                        WHERE 
#			                	        G.SnapNum = 27 
#			                                and G.GroupMass > POWER(10.0,12.5)
#			                                and G.NumOfSubhalos>=4
#	                                                and SH.Spurious=0
#		                                        and G.GroupID = SH.GroupID
#	                                                and mg.GalaxyID = SH.GalaxyID
#	                                                and ape.ApertureSize = 30
#	                                                and ape.Mass_Star > POWER(10.0,8.5)
#	                                                and ape.GalaxyID = SH.GalaxyID
#	
#			                        ORDER BY 
#			                			    G.Group_M_Crit200 
#		
#	
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 4451 millisec
#COLUMN 1 name=id JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=Mstar JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=g_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=M JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=R JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=grpid JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 12 name=Num JDBC_TYPE=4 JDBC_TYPENAME=int
id,x,y,z,Mstar,g_x,g_y,g_z,M,R,grpid,Num
17057997,49.042927,91.206635,43.99185,2.73741517E10,49.070297,91.15638,43.968014,1.65506541E12,241.35966,27000000000562,135
2510677,73.9412,31.689854,37.92458,6.6307424E8,74.17318,31.709557,38.036106,1.66773771E12,241.9663,27000000000512,129
2510814,74.003456,31.52042,37.911438,1.02621587E9,74.17318,31.709557,38.036106,1.66773771E12,241.9663,27000000000512,129
8525643,74.29082,31.11072,38.37035,2.36782674E10,74.17318,31.709557,38.036106,1.66773771E12,241.9663,27000000000512,129
8527325,74.48592,31.113876,38.49039,6.619009E9,74.17318,31.709557,38.036106,1.66773771E12,241.9663,27000000000512,129
16662840,74.17079,31.669176,38.046295,4.4038033E10,74.17318,31.709557,38.036106,1.66773771E12,241.9663,27000000000512,129
16968828,41.92614,36.79758,94.70055,3.10246277E10,41.931644,36.827522,94.70881,1.69282057E12,243.17897,27000000000546,137
8557264,41.8447,36.493378,94.69129,1.02952847E10,41.931644,36.827522,94.70881,1.69282057E12,243.17897,27000000000546,137
8555754,42.35983,36.707806,95.14398,2.01459077E10,41.931644,36.827522,94.70881,1.69282057E12,243.17897,27000000000546,137
2413623,92.99123,13.923159,41.159542,3.96781722E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
2412731,93.20486,13.466131,40.924553,1.14239498E10,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
2415423,93.117386,13.950368,41.219402,1.60901146E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
2414062,93.423965,12.879507,40.825417,8.5606753E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
2414715,93.40336,13.828795,41.23574,5.6987448E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
8454895,93.33137,12.925903,40.857544,8.8916337E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
16167926,93.18666,13.614576,40.99382,1.42254868E10,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
57810933,93.361206,12.859145,40.717915,7.4618035E8,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
57812703,93.211945,13.612397,40.955215,3.77372256E8,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
57810600,93.19816,13.603976,40.962093,2.2577239E9,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
57811116,93.27978,12.938953,41.016106,3.39134272E8,93.1697,13.589492,40.9679,1.71788678E12,244.3739,27000000000400,254
2392924,81.181725,11.121642,44.093857,1.01674643E9,81.74074,11.306444,43.900597,1.7208203E12,244.51169,27000000000382,254
8429144,81.72559,11.338473,43.926754,2.08415027E10,81.74074,11.306444,43.900597,1.7208203E12,244.51169,27000000000382,254
8431198,80.95441,11.009971,43.929146,1.95236475E10,81.74074,11.306444,43.900597,1.7208203E12,244.51169,27000000000382,254
8432721,81.13625,11.299048,44.34463,2.2473429E10,81.74074,11.306444,43.900597,1.7208203E12,244.51169,27000000000382,254
8434937,81.65501,11.495774,44.061398,9.8489897E9,81.74074,11.306444,43.900597,1.7208203E12,244.51169,27000000000382,254
2590040,93.37328,53.361935,67.39591,7.4268959E9,93.17627,53.508194,67.05461,1.74819272E12,245.80127,27000000000586,160
2590578,92.70687,53.527843,67.23351,1.79768781E9,93.17627,53.508194,67.05461,1.74819272E12,245.80127,27000000000586,160
8583419,93.3893,53.46322,67.2779,1.42807521E10,93.17627,53.508194,67.05461,1.74819272E12,245.80127,27000000000586,160
17162001,93.197685,53.492783,67.07641,3.5062788E10,93.17627,53.508194,67.05461,1.74819272E12,245.80127,27000000000586,160
2384806,52.522293,77.457,66.314766,5.4811674E8,53.48585,76.735886,67.00344,1.74936438E12,245.85541,27000000000489,175
