subid,grpid,sh_x,sh_y,sh_z,fof_x,fof_y,fof_z,mstar,fof_mass,dist
2671795,27000000000000,4.701079,74.39368,47.087307,5.717667,75.61041,47.477654,5.5155802E8,5.52521169E14,2.666268106044299
2672027,27000000000000,5.322478,74.26992,47.191067,5.717667,75.61041,47.477654,1.95187187E9,5.52521169E14,2.0352260114341334
2672856,27000000000000,5.7234163,75.02346,47.403446,5.717667,75.61041,47.477654,7.3532145E9,5.52521169E14,0.3500526740501755
2673683,27000000000000,5.3358197,75.43927,47.826912,5.717667,75.61041,47.477654,3.95421798E9,5.52521169E14,0.2970786508085439
2674103,27000000000000,6.114433,74.41369,47.343315,5.717667,75.61041,47.477654,3.3523753E9,5.52521169E14,1.6076180115787793
2674461,27000000000000,5.5226254,74.297966,48.62025,5.717667,75.61041,47.477654,9.1592806E8,5.52521169E14,3.0660856684844475
2674790,27000000000000,6.781946,75.46783,47.545414,5.717667,75.61041,47.477654,1.75181299E9,5.52521169E14,1.1576121372438593
2674992,27000000000000,5.3234167,74.07639,47.782597,5.717667,75.61041,47.477654,4.34479776E8,5.52521169E14,2.6016393922275256
2675291,27000000000000,6.552404,75.60759,46.93733,5.717667,75.61041,47.477654,1.68729958E9,5.52521169E14,0.9887448177405531
2675801,27000000000000,1.5522151,73.63935,47.863678,5.717667,75.61041,47.477654,3.39228877E9,5.52521169E14,21.38508953966175
2676051,27000000000000,1.9873685,73.439865,47.71555,5.717667,75.61041,47.477654,4.602836E9,5.52521169E14,18.682997918460615
2676353,27000000000000,6.184683,77.23495,48.54639,5.717667,75.61041,47.477654,3.27622432E8,5.52521169E14,3.999415232929323
2676572,27000000000000,5.707595,75.50026,46.1004,5.717667,75.61041,47.477654,5.8142605E8,5.52521169E14,1.9090650963646567
2676802,27000000000000,5.6608577,75.612625,47.544952,5.717667,75.61041,47.477654,6.9745976E9,5.52521169E14,0.007761346555525961
2677204,27000000000000,6.098883,75.77937,47.43674,5.717667,75.61041,47.477654,6.6833649E9,5.52521169E14,0.17554719395775464
2677722,27000000000000,5.934467,74.63891,48.98469,5.717667,75.61041,47.477654,5.4253716E9,5.52521169E14,3.261986442806119
2678096,27000000000000,6.510175,76.004524,47.092762,5.717667,75.61041,47.477654,4.18797542E9,5.52521169E14,0.9315345826553312
2678736,27000000000000,2.1288764,73.80191,47.95774,5.717667,75.61041,47.477654,7.7608397E9,5.52521169E14,16.380582360587198
2679047,27000000000000,5.186849,76.27083,45.987255,5.717667,75.61041,47.477654,3.96140467E9,5.52521169E14,2.9392039752938217
2679698,27000000000000,5.9592276,75.93751,47.555817,5.717667,75.61041,47.477654,2.93740339E9,5.52521169E14,0.1714520927509966
