id,x,y,z,g_x,g_y,g_z,M,R,grpid
6132440,94.36965,55.606033,94.39216,94.370056,55.606773,94.3926,4.54801E10,72.83417,27000200005522
4796229,34.26319,90.87484,94.646454,34.260456,90.88423,94.64806,4.5621699E10,72.90911,27000100004691
6718050,48.7232,16.689873,8.978824,48.724346,16.69204,8.978599,4.6214828E10,73.22451,27000200003213
6161653,92.56368,54.961563,0.5457233,92.558784,54.964497,0.54716563,4.6246552E10,73.2418,27000200003417
5095472,56.58772,5.015664,18.38696,56.589287,5.014662,18.387253,4.6340313E10,73.28915,27000200003061
6268172,92.254135,54.128525,1.2956191,92.252426,54.12709,1.2974589,4.6366429E10,73.30334,27000200004166
1037039,82.64427,33.194687,8.600972,82.64545,33.19237,8.599739,4.6386385E10,73.312744,27000200001365
5180916,85.62698,66.18186,50.492634,85.625114,66.18369,50.491776,4.6456787E10,73.35238,27000200000459
5627618,82.5451,44.167355,55.395607,82.54707,44.166492,55.392612,4.6466257E10,73.356766,27000200001528
5640927,82.05699,71.75703,43.880985,82.06016,71.759254,43.88111,4.6673973E10,73.46647,27000200001220
4986983,55.592484,96.25885,20.454844,55.59453,96.25853,20.455471,4.6799491E10,73.52924,27000100004378
5524491,50.942158,33.654694,39.397472,50.943546,33.65724,39.399605,4.6889751E10,73.57697,27000200000521
5719511,6.9999566,69.44479,85.6817,7.0012093,69.4448,85.684074,4.6933746E10,73.60187,27000200002671
6240899,54.61083,44.210884,30.765097,54.609856,44.21348,30.766232,4.7086617E10,73.6815,27000200005011
3247067,52.07843,47.374397,75.79494,52.08058,47.373127,75.79962,4.7312273E10,73.79783,27000200004740
6351493,11.934727,83.29279,55.623043,11.936129,83.29346,55.62327,4.777547E10,74.03814,27000200001741
5569564,24.024225,77.7622,51.41087,24.026249,77.76478,51.410477,4.7992443E10,74.15033,27000100004320
5409149,13.939967,77.583046,51.596035,13.940458,77.58234,51.597645,4.8011211E10,74.16259,27000200001679
2975927,77.587395,88.47104,42.307327,77.58681,88.47245,42.309982,4.8135971E10,74.2237,27000100000686
5697173,76.87858,25.19162,58.887012,76.87719,25.191256,58.885956,4.8178987E10,74.24434,27000200001056
4923704,33.96204,80.26501,96.274895,33.962414,80.26909,96.27216,4.8658678E10,74.48961,27000100007547
6110185,85.0537,59.981236,49.583992,85.05542,59.984146,49.58279,4.8737137E10,74.53254,27000200002188
5459892,90.69924,66.111755,55.686317,90.699814,66.11109,55.676323,4.8773804E10,74.5533,27000200000930
4011186,24.92649,74.14683,21.291576,24.91188,74.14958,21.308727,4.8794669E10,74.55936,27000100002507
1731183,53.429573,24.198442,27.789572,53.429405,24.198988,27.787312,4.8821608E10,74.57668,27000100006391
5649627,74.077934,59.425976,72.742744,74.08048,59.422863,72.74261,4.8845476E10,74.58761,27000200001929
6091154,55.635387,96.06282,19.67722,55.634453,96.06374,19.6766,4.9007657E10,74.66723,27000100005901
4372740,84.945206,66.56878,46.267033,84.923645,66.47313,46.21115,4.9055379E10,74.6914,27000100002467
4372636,84.924126,66.4947,46.224327,84.923645,66.47313,46.21115,4.9055379E10,74.6914,27000100002467
