id,xslice,yslice,SM,x,Metal,y,z
53793214, 13.9667, 18.1265,3178052100.0000, 58.0663,  0.0162, 86.5025, 23.8043
53800022, 36.1000,  9.7032,17292922900.0000, 79.1905,  0.0230, 75.4674, 19.0846
53800840, 36.2157,  9.6830,1501918850.0000, 79.2825,  0.0147, 75.3857, 18.9680
53810875, 43.4355,-44.4551,3305910780.0000, 92.6313,  0.0217, 37.1125, 60.6552
53811242, 43.7928,-44.1422,1617556480.0000, 93.0079,  0.0176, 37.4753, 60.6286
53813279, 43.4738,-44.4050,1040227260.0000, 92.6693,  0.0241, 37.1616, 60.6368
53816749, 27.0232,-75.0851,1156895490.0000, 76.9673,  0.0144,  8.4192, 73.6474
53817292, 27.0757,-74.5102,1029401410.0000, 76.8510,  0.0149,  8.5574, 72.7103
53828751,-12.2676,-46.7976,5304422900.0000, 38.1821,  0.0251, 38.0155, 72.6217
53829215,-12.5559,-46.7639,2529160190.0000, 37.8730,  0.0254, 37.9956, 72.5456
53829745,-12.2126,-46.7868,1345854980.0000, 38.2363,  0.0174, 38.0243, 72.6099
53844009,-44.0923,-20.1985,1831603460.0000,  3.4877,  0.0194, 57.1864, 55.6097
53844287,-44.5374,-19.9320,1132678530.0000,  3.0602,  0.0095, 57.4986, 55.6674
53844596,-43.9613,-20.4086,2227967490.0000,  3.5853,  0.0222, 56.8900, 55.4958
53845401,-43.9509,-20.1865,4038465540.0000,  3.6158,  0.0238, 57.1640, 55.5309
53854847, 14.7819, -2.3221,2674764030.0000, 64.9601,  0.0225, 81.7884, 57.2224
53855145, 14.7149, -2.6189,3549726720.0000, 64.9284,  0.0168, 81.5828, 57.4691
53856086, 14.8949, -2.3498,1049240830.0000, 65.0672,  0.0175, 81.7454, 57.1908
53859446, 37.9700,-50.5987,6981508100.0000, 84.5227,  0.0219, 24.1272, 50.5028
53859942, 37.8393,-50.6617,1200406020.0000, 84.4100,  0.0153, 24.1109, 50.6159
54363274,  7.2118, 16.4878,1204025730.0000, 53.7585,  0.0118, 91.1983, 36.2651
54368106,-34.6628, -2.7827,5802168800.0000, 15.9940,  0.0255, 82.5663, 64.4806
54373224,-43.7936, 16.6355,1470452350.0000,  2.9369,  0.0118, 91.8216, 42.1527
54378067, 20.7552, 14.7426,1654095620.0000, 67.5595,  0.0151, 90.1197, 36.5637
54378723, 19.7338, 15.5443,1118259580.0000, 66.3839,  0.0169, 90.5223, 35.7427
54388327, 14.7708,-72.9433,1448415360.0000, 62.3878,  0.0231,  4.5374, 63.5052
54402335, 45.3155,  7.0773,1862983300.0000, 87.1462,  0.0165, 69.5804, 12.9920
54402733, 45.0740,  7.2097,2539555840.0000, 86.8925,  0.0272, 69.6814, 12.9255
54403791, 45.0136,  7.1478,1610324350.0000, 86.8314,  0.0173, 69.6174, 12.9438
54410350,-51.5679,-31.1987,29633603600.0000,  2.5335,  0.0217, 63.0667, 89.4768
54413616,-51.7462,-31.0039,1721559420.0000,  2.3661,  0.0146, 63.2897, 89.4949
54417980, 30.4865,-43.9813,1455746300.0000, 78.1283,  0.0213, 33.5638, 54.6026
54421948,-44.6030,-55.6475,5835636200.0000,  4.2729,  0.0228, 25.0918, 70.8050
54434725, 31.2323,-36.2644,3771249660.0000, 79.5289,  0.0169, 42.9755, 55.5834
54434981, 31.1967,-36.2255,1750639620.0000, 79.4546,  0.0140, 42.9141, 55.3969
54435289, 31.4505,-36.2100,10879539200.0000, 79.7341,  0.0249, 42.9965, 55.4877
54436685, 31.3768,-36.1400,1710464000.0000, 79.6634,  0.0353, 43.0740, 55.4904
54440087, 47.8024,-37.4930,1506217600.0000, 97.2601,  0.0140, 44.7524, 59.6450
54444566,-11.5179, -3.1836,4895682000.0000, 35.0862,  0.0211, 71.6755, 43.4580
54445046,-11.4969, -3.5644,3184677630.0000, 35.1036,  0.0247, 71.2853, 43.5371
54446027,-11.0051, -3.4030,1125885820.0000, 35.5694,  0.0175, 71.3794, 43.3258
54452224, -5.0489,-60.2260,9017566200.0000, 50.1150,  0.0285, 36.7896, 97.2580
54457509,-14.6906, -0.2989,1184081280.0000, 32.8379,  0.0107, 76.9526, 47.3241
54457794,-14.7340, -0.6535,1049067200.0000, 32.7484,  0.0113, 76.4787, 47.2056
54458252,-14.8585, -0.2695,1170651520.0000, 32.6324,  0.0139, 76.8849, 47.1588
54468854, -6.7233,-44.0196,1534867970.0000, 38.5480,  0.0199, 27.3895, 47.3017
54963564,-28.6919,-47.1903,1872687100.0000, 23.6666,  0.0257, 42.5638, 83.2227
54965828, 34.8566,-15.0963,6044622800.0000, 81.7648,  0.0297, 60.5496, 43.3246
54975668,-44.8588,-49.4573,17089611800.0000,  2.6372,  0.0160, 27.7102, 62.8274
54977532,-44.8158,-49.4144,1872780420.0000,  2.6534,  0.0164, 27.6839, 62.6879
54977824,-44.8197,-49.5243,2803501570.0000,  2.7305,  0.0185, 27.7836, 63.0926
54985078, 37.1960,-18.1140,1095782530.0000, 87.2218,  0.0143, 65.6020, 58.3506
54985222, 37.0717,-18.4982,1231976320.0000, 87.1130,  0.0143, 65.2578, 58.5336
54989065,-32.0810, -1.8376,6076467700.0000, 17.9988,  0.0242, 82.0182, 61.3008
54989685,-32.0790, -1.9844,2857491970.0000, 18.0058,  0.0275, 81.8843, 61.3617
54990122,-32.2770, -2.0074,1537339260.0000, 17.7803,  0.0141, 81.7900, 61.2594
54997341, -9.7312, -2.8913,12964123600.0000, 43.7304,  0.0215, 89.7182, 75.0582
55000727,-28.4210,-57.2648,5666543600.0000, 20.0313,  0.0225, 22.3784, 67.6449
55001232,-28.4131,-57.1624,2197179140.0000, 20.0238,  0.0273, 22.4409, 67.5461
55001575,-28.4302,-57.0096,1235072000.0000, 19.9702,  0.0139, 22.4990, 67.3388
55002641,-28.7494,-55.8247,1087685380.0000, 19.6029,  0.0202, 23.5596, 66.8423
55014404,  5.5791,-34.8618,4262187520.0000, 50.3998,  0.0217, 35.3808, 41.6277
55029295, 22.6887, -0.6557,2784178430.0000, 68.6364,  0.0205, 72.5043, 36.3564
55029751, 22.6539, -0.5266,2542980610.0000, 68.6215,  0.0231, 72.6848, 36.4190
55035966,-44.9311,-23.0607,2576890110.0000,  2.8156,  0.0166, 54.7558, 57.2044
55036423,-45.3537,-23.3207,1081616260.0000,  2.3894,  0.0121, 54.4866, 57.2967
55039927, 30.8507, 13.4190,1043539070.0000, 79.8650,  0.0121, 94.5168, 46.1662
55040114, 30.9172, 13.4720,2425000960.0000, 79.9257,  0.0214, 94.5544, 46.1185
55046552, -4.1413,  6.5210,4256614140.0000, 42.0539,  0.0214, 80.3217, 38.3271
55513943, 20.0459,-18.7836,1614820610.0000, 73.4548,  0.0152, 73.6894, 75.9428
55516237, 37.3387, 31.4132,1015233920.0000, 80.5939,  0.0171, 97.6037, 14.1379
55560240, 27.7716,-22.5613,1352776190.0000, 72.6171,  0.0157, 47.7455, 36.3698
55560719, 27.8771,-22.6263,2107682690.0000, 72.7416,  0.0214, 47.7297, 36.4643
55563614,-39.5252,-86.8359,1083747330.0000, 13.8179,  0.0111,  5.4668, 99.0787
55574028, -1.0188,-42.9672,3027039490.0000, 47.8797,  0.0167, 37.8306, 63.3116
55581406, 36.3932,-34.5726,1105412740.0000, 85.3196,  0.0088, 46.2975, 57.5600
55581584, 36.6921,-34.0873,1228498180.0000, 85.6047,  0.0165, 46.7472, 57.3415
